,n_features,seed,type,time,time_norm
187,36,9,linear_cubic,2.3499968010000885,0.0023499968010000883
188,147,5,quadratic,0.11586293700383976,0.00011586293700383976
189,147,5,linear_quadratic,2.003823429986369,0.002003823429986369
190,90,5,quadratic,0.05630760994972661,5.630760994972661e-05
191,90,5,linear_quadratic,0.9934326960355975,0.0009934326960355975
192,25,3,cubic,0.0734408869757317,7.34408869757317e-05
193,25,3,linear_cubic,1.2762493490008637,0.0012762493490008637
194,124,6,quadratic,0.05142628797329962,5.1426287973299624e-05
195,124,6,linear_quadratic,1.6036527820397168,0.0016036527820397167
196,60,3,cubic,0.0962277609796729,9.62277609796729e-05
197,60,3,linear_cubic,16.735189679980977,0.016735189679980975
198,35,0,quadratic,0.06578160298522562,6.578160298522562e-05
199,35,0,linear_quadratic,0.1536644140142016,0.0001536644140142016
200,105,2,cubic,0.06545066100079566,6.545066100079566e-05
201,105,2,linear_cubic,70.72228002100019,0.07072228002100019
202,80,6,cubic,0.1265219590277411,0.0001265219590277411
203,80,6,linear_cubic,47.69356229901314,0.047693562299013136
204,70,0,quadratic,0.07765547899180092,7.765547899180092e-05
205,70,0,linear_quadratic,1.1833015419833828,0.0011833015419833828
206,140,2,cubic,0.09551911399466917,9.551911399466916e-05
207,140,2,linear_cubic,185.7496272379649,0.1857496272379649
208,45,9,quadratic,0.09515559201827273,9.515559201827272e-05
209,45,9,linear_quadratic,1.2558362840209156,0.0012558362840209157
210,56,3,quadratic,0.12069542199606076,0.00012069542199606076
211,56,3,linear_quadratic,0.9961656259838492,0.0009961656259838492
212,13,3,quadratic,0.06974023099610349,6.974023099610349e-05
213,13,3,linear_quadratic,0.009868228997220285,9.868228997220286e-06
214,116,8,cubic,0.07001411000965163,7.001411000965163e-05
215,116,8,linear_cubic,63.990770686010364,0.06399077068601036
216,123,1,cubic,0.075079660047777,7.507966004777699e-05
217,123,1,linear_cubic,124.09825429896591,0.12409825429896591
218,38,6,cubic,0.10969449402182363,0.00010969449402182364
219,38,6,linear_cubic,2.758643254986964,0.002758643254986964
220,139,3,quadratic,0.08667770499596372,8.667770499596372e-05
221,139,3,linear_quadratic,2.8531331309932284,0.0028531331309932283
222,118,7,cubic,0.10224508098326623,0.00010224508098326623
223,118,7,linear_cubic,102.68776630295906,0.10268776630295906
224,28,5,quadratic,0.1232916229928378,0.0001232916229928378
225,28,5,linear_quadratic,0.1501191999996081,0.0001501191999996081
226,145,7,quadratic,0.1299067180007114,0.0001299067180007114
227,145,7,linear_quadratic,2.0077250829999684,0.0020077250829999686
228,100,7,quadratic,0.044453371999907176,4.445337199990718e-05
229,100,7,linear_quadratic,0.6910289229999762,0.0006910289229999763
230,44,2,cubic,0.0895853050169535,8.95853050169535e-05
231,44,2,linear_cubic,4.016675521037541,0.004016675521037541
232,62,1,cubic,0.06124756496865302,6.124756496865303e-05
233,62,1,linear_cubic,6.071024019969627,0.006071024019969627
234,126,4,quadratic,0.11937148502329364,0.00011937148502329364
235,126,4,linear_quadratic,2.5778233140008524,0.0025778233140008526
236,57,8,cubic,0.09692008700221777,9.692008700221777e-05
237,57,8,linear_cubic,11.069553645007545,0.011069553645007545
238,27,1,cubic,0.090670345001854,9.0670345001854e-05
239,27,1,linear_cubic,1.2502588810166344,0.0012502588810166344
240,92,7,quadratic,0.1404003339994233,0.0001404003339994233
241,92,7,linear_quadratic,1.1483880960004171,0.0011483880960004172
242,12,8,cubic,0.04344900499563664,4.344900499563664e-05
243,12,8,linear_cubic,0.046650505042634904,4.6650505042634906e-05
244,142,0,cubic,0.0704215900041163,7.042159000411629e-05
245,142,0,linear_cubic,148.40004663501168,0.1484000466350117
246,72,2,quadratic,0.07086601899936795,7.086601899936795e-05
247,72,2,linear_quadratic,1.2275579560082406,0.0012275579560082407
248,82,4,cubic,0.07347568596014753,7.347568596014753e-05
249,82,4,linear_cubic,35.40976663300535,0.035409766633005345
250,107,0,cubic,0.0856746929930523,8.56746929930523e-05
251,107,0,linear_cubic,62.358232015016256,0.06235823201501626
252,132,9,cubic,0.0728024709969759,7.28024709969759e-05
253,132,9,linear_cubic,80.17955076199723,0.08017955076199723
254,37,2,quadratic,0.0989982369937934,9.89982369937934e-05
255,37,2,linear_quadratic,0.20688206498743966,0.00020688206498743967
256,24,8,quadratic,0.12167752800451126,0.00012167752800451126
257,24,8,linear_quadratic,0.02797445400210563,2.797445400210563e-05
258,121,3,cubic,0.07456883700797334,7.456883700797334e-05
259,121,3,linear_cubic,128.34648528700927,0.12834648528700926
260,11,1,quadratic,0.06954704399686307,6.954704399686307e-05
261,11,1,linear_quadratic,0.0047238770057447255,4.723877005744726e-06
262,61,8,quadratic,0.08399444195674732,8.399444195674732e-05
263,61,8,linear_quadratic,0.7121676970273256,0.0007121676970273256
264,54,1,quadratic,0.2646872320037801,0.00026468723200378006
265,54,1,linear_quadratic,1.049617953991401,0.001049617953991401
266,59,7,cubic,0.10988190700300038,0.00010988190700300038
267,59,7,linear_cubic,12.305655517004197,0.012305655517004197
268,49,4,quadratic,0.07670999102992937,7.670999102992937e-05
269,49,4,linear_quadratic,1.1710504770162515,0.0011710504770162515
270,64,7,cubic,0.1262274199980311,0.00012622741999803111
271,64,7,linear_cubic,16.53071434699814,0.016530714346998137
272,120,2,quadratic,0.11447258900443558,0.00011447258900443558
273,120,2,linear_quadratic,1.4904895970030339,0.0014904895970030338
274,21,7,cubic,0.08373499699519016,8.373499699519016e-05
275,21,7,linear_cubic,0.7179602010000963,0.0007179602010000963
276,94,1,quadratic,0.04831403700518422,4.831403700518422e-05
277,94,1,linear_quadratic,1.1450050720013678,0.001145005072001368
278,6,4,cubic,0.06974371802061796,6.974371802061796e-05
279,6,4,linear_cubic,0.004678516008425504,4.678516008425504e-06
280,143,1,quadratic,0.05766238598152995,5.766238598152995e-05
281,143,1,linear_quadratic,1.9902030359953642,0.001990203035995364
282,106,1,quadratic,0.09946909302379936,9.946909302379936e-05
283,106,1,linear_quadratic,1.1559053630335256,0.0011559053630335256
284,42,4,cubic,0.08832705300301313,8.832705300301313e-05
285,42,4,linear_cubic,3.605792320013279,0.003605792320013279
286,133,8,quadratic,0.09378530998947099,9.378530998947099e-05
287,133,8,linear_quadratic,2.4080096620018594,0.0024080096620018596
288,127,5,cubic,0.07724433299154043,7.724433299154044e-05
289,127,5,linear_cubic,131.49019926501205,0.13149019926501204
290,97,8,cubic,0.1120261560427025,0.0001120261560427025
291,97,8,linear_cubic,35.40742175898049,0.03540742175898049
292,17,7,quadratic,0.08970575899002142,8.970575899002142e-05
293,17,7,linear_quadratic,0.01809925600537099,1.809925600537099e-05
294,52,7,quadratic,0.11378119699656963,0.00011378119699656964
295,52,7,linear_quadratic,1.9090664830000605,0.0019090664830000606
296,144,6,cubic,0.06560414799605496,6.560414799605496e-05
297,144,6,linear_cubic,152.24226096598431,0.1522422609659843
298,74,4,quadratic,0.07330772498971783,7.330772498971783e-05
299,74,4,linear_quadratic,1.277288127981592,0.001277288127981592
300,8,0,quadratic,0.1296461939928122,0.00012964619399281218
301,8,0,linear_quadratic,0.0022383430041372776,2.2383430041372777e-06
302,84,2,cubic,0.09839655001997016,9.839655001997016e-05
303,84,2,linear_cubic,45.571872702013934,0.04557187270201393
304,101,6,cubic,0.05886886297957972,5.8868862979579716e-05
305,101,6,linear_cubic,71.38314194598934,0.07138314194598934
306,31,4,quadratic,0.14998832799028605,0.00014998832799028604
307,31,4,linear_quadratic,0.07247956102946773,7.247956102946774e-05
308,79,2,cubic,0.09635505799087696,9.635505799087696e-05
309,79,2,linear_cubic,39.35942161499406,0.03935942161499406
310,89,4,quadratic,0.09945471899118274,9.945471899118274e-05
311,89,4,linear_quadratic,2.631195042980835,0.002631195042980835
312,69,1,quadratic,0.12326383400068153,0.00012326383400068153
313,69,1,linear_quadratic,0.6288263960013865,0.0006288263960013865
314,99,7,cubic,0.045598377007991076,4.5598377007991076e-05
315,99,7,linear_cubic,21.4425189300091,0.0214425189300091
316,19,8,quadratic,0.12222123899846338,0.00012222123899846338
317,19,8,linear_quadratic,0.01317315999767743,1.317315999767743e-05
318,96,3,quadratic,0.06167149599991717,6.167149599991716e-05
319,96,3,linear_quadratic,1.1050152679999883,0.0011050152679999883
320,23,5,cubic,0.07319117500446737,7.319117500446736e-05
321,23,5,linear_cubic,0.3741096530575305,0.00037410965305753054
322,117,9,quadratic,0.13527242600684986,0.00013527242600684986
323,117,9,linear_quadratic,2.450705664989073,0.002450705664989073
324,122,0,quadratic,0.050385497001116164,5.0385497001116165e-05
325,122,0,linear_quadratic,1.6476082080043852,0.0016476082080043853
326,66,5,cubic,0.1514500999765005,0.0001514500999765005
327,66,5,linear_cubic,12.311264624993782,0.012311264624993783
328,40,6,cubic,0.13173863000702113,0.00013173863000702114
329,40,6,linear_cubic,2.8001205259934068,0.002800120525993407
330,104,3,quadratic,0.0663781059847679,6.63781059847679e-05
331,104,3,linear_quadratic,1.664793148986064,0.0016647931489860639
332,85,9,quadratic,0.14573769102571532,0.00014573769102571533
333,85,9,linear_quadratic,2.071649746008916,0.0020716497460089157
334,141,3,quadratic,0.08668020600453019,8.66802060045302e-05
335,141,3,linear_quadratic,2.848680628987495,0.002848680628987495
336,50,5,quadratic,0.13260982099996,0.00013260982099996
337,50,5,linear_quadratic,0.9864691329999005,0.0009864691329999004
338,15,5,quadratic,0.046539560018572956,4.6539560018572954e-05
339,15,5,linear_quadratic,0.00680313998600468,6.80313998600468e-06
340,125,7,cubic,0.06074904798879288,6.074904798879288e-05
341,125,7,linear_cubic,76.95853385000373,0.07695853385000373
342,33,6,quadratic,0.07633504195837304,7.633504195837304e-05
343,33,6,linear_quadratic,0.09589514101389796,9.589514101389795e-05
344,103,4,cubic,0.10071857599541545,0.00010071857599541545
345,103,4,linear_cubic,78.430734151043,0.078430734151043
346,86,0,cubic,0.07765228499192744,7.765228499192744e-05
347,86,0,linear_cubic,49.25167221800075,0.049251672218000746
348,76,6,quadratic,0.1377227120101452,0.00013772271201014519
349,76,6,linear_quadratic,0.9361725180060603,0.0009361725180060602
350,146,4,cubic,0.06885557499481365,6.885557499481365e-05
351,146,4,linear_cubic,198.27834260300733,0.19827834260300733
352,119,6,quadratic,0.056805993954185396,5.68059939541854e-05
353,119,6,linear_quadratic,1.5221359489951283,0.0015221359489951283
354,18,3,cubic,0.16323930898215622,0.0001632393089821562
355,18,3,linear_cubic,0.9430145450169221,0.000943014545016922
356,78,9,quadratic,0.11623772399616428,0.00011623772399616428
357,78,9,linear_quadratic,2.0502993979898747,0.0020502993979898748
358,138,2,cubic,0.09564744302770123,9.564744302770122e-05
359,138,2,linear_cubic,177.21151643799385,0.17721151643799385
360,138,0,cubic,0.07565556099871174,7.565556099871174e-05
361,138,0,linear_cubic,132.57430702997954,0.13257430702997955
